index,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
18308,Hyundai Creta,Hyundai,Creta,5,108000,Individual,Diesel,Manual,19.67,1582,3,5,1115000
19489,Tata Tiago,Tata,Tiago,4,30000,Individual,Petrol,Manual,23.84,1199,2,5,350000
11941,Hyundai Venue,Hyundai,Venue,2,31000,Dealer,Diesel,Manual,23.7,1396,2,5,1090000
12084,Hyundai Creta,Hyundai,Creta,6,45000,Dealer,Petrol,Manual,15.29,1591,3,5,875000
17784,Hyundai Verna,Hyundai,Verna,3,32000,Dealer,Diesel,Automatic,22.0,1582,3,5,1200000
9386,Hyundai i20,Hyundai,i20,4,35000,Dealer,Petrol,Manual,18.5,1197,2,5,545000
13971,Maruti Vitara,Maruti,Vitara,5,45417,Dealer,Diesel,Manual,24.3,1248,2,5,750000
8807,Jaguar XF,Jaguar,XF,6,52353,Individual,Diesel,Automatic,16.36,2179,3,5,2400000
11331,Datsun RediGO,Datsun,RediGO,4,27500,Individual,Petrol,Manual,22.7,799,1,5,206000
4129,Volkswagen Vento,Volkswagen,Vento,6,80900,Dealer,Diesel,Automatic,22.15,1498,2,5,710000
4345,Ford Ecosport,Ford,Ecosport,3,31668,Dealer,Petrol,Automatic,14.8,1497,3,5,935000
14161,Maruti Eeco,Maruti,Eeco,6,37000,Dealer,Petrol,Manual,15.37,1196,1,5,260000
19317,Honda City,Honda,City,6,57530,Dealer,Petrol,Automatic,18.0,1497,2,5,725000
121,Maruti Baleno,Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,2,5,650000
18793,Audi A6,Audi,A6,11,86000,Dealer,Diesel,Automatic,12.4,2698,3,5,1100000
16769,Hyundai Grand,Hyundai,Grand,6,50215,Dealer,Petrol,Manual,18.9,1197,2,5,450000
10506,Honda City,Honda,City,7,60000,Individual,Petrol,Manual,17.4,1497,2,5,500000
7140,Mahindra XUV500,Mahindra,XUV500,2,100000,Dealer,Diesel,Manual,15.1,2179,3,7,1550000
12816,Honda WR-V,Honda,WR-V,3,32547,Dealer,Petrol,Manual,17.5,1199,2,5,548000
2649,Hyundai Verna,Hyundai,Verna,5,63000,Dealer,Diesel,Automatic,21.3,1493,2,5,751000
165,Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,2,5,720000
18860,Honda Jazz,Honda,Jazz,6,35380,Dealer,Diesel,Manual,27.3,1498,2,5,660000
6448,Hyundai Grand,Hyundai,Grand,1,14000,Individual,Petrol,Automatic,20.7,1197,2,5,690000
2429,Maruti Swift Dzire,Maruti,Swift Dzire,5,30000,Individual,Petrol,Manual,17.5,1298,2,5,600000
15483,Maruti Alto,Maruti,Alto,5,35000,Individual,Petrol,Manual,23.95,998,1,5,280000
8463,Hyundai i20,Hyundai,i20,4,70000,Individual,Petrol,Manual,18.6,1197,2,5,550000
17421,BMW X1,BMW,X1,10,210000,Dealer,Diesel,Automatic,17.05,1995,3,5,800000
9056,Mahindra XUV500,Mahindra,XUV500,5,80000,Individual,Diesel,Manual,16.0,2179,3,7,1090000
10080,Hyundai i20,Hyundai,i20,3,72500,Individual,Diesel,Manual,21.19,1396,2,5,650000
8100,Maruti Swift Dzire,Maruti,Swift Dzire,4,60500,Individual,Diesel,Manual,19.3,1248,1,5,620000
10657,Hyundai i20,Hyundai,i20,3,25656,Individual,Petrol,Manual,17.19,1197,2,5,650000
19427,Maruti Swift Dzire,Maruti,Swift Dzire,9,66000,Dealer,Petrol,Manual,17.5,1298,2,5,425000
2666,Maruti Ciaz,Maruti,Ciaz,4,27001,Dealer,Petrol,Automatic,19.12,1373,2,5,845000
686,Maruti Swift Dzire,Maruti,Swift Dzire,7,70000,Individual,Petrol,Manual,19.1,1197,2,5,384000
3967,Tata Hexa,Tata,Hexa,4,93000,Dealer,Diesel,Manual,17.6,2179,3,7,985000
17588,Honda City,Honda,City,4,27880,Dealer,Petrol,Automatic,18.4,1498,2,5,1145000
17782,Skoda Rapid,Skoda,Rapid,9,91000,Dealer,Petrol,Automatic,14.3,1598,2,5,525000
14532,Honda Amaze,Honda,Amaze,7,58000,Dealer,Petrol,Automatic,15.5,1198,2,5,445000
13757,Honda Amaze,Honda,Amaze,7,53589,Dealer,Diesel,Manual,25.8,1498,2,5,350000
7871,Mahindra Scorpio,Mahindra,Scorpio,8,79000,Dealer,Diesel,Manual,12.05,2179,2,8,775000
2372,Maruti Swift,Maruti,Swift,6,78000,Dealer,Petrol,Manual,18.6,1197,2,5,450000
565,Ford Freestyle,Ford,Freestyle,2,50000,Individual,Petrol,Manual,19.0,1194,2,5,650000
374,Maruti Wagon R,Maruti,Wagon R,3,80000,Individual,Petrol,Automatic,20.51,998,1,5,400000
19354,Toyota Innova,Toyota,Innova,9,121000,Dealer,Diesel,Manual,12.8,2494,2,8,750000
13403,Mahindra Scorpio,Mahindra,Scorpio,6,80000,Individual,Diesel,Manual,15.4,2179,2,7,1120000
15391,Hyundai i10,Hyundai,i10,8,94952,Dealer,Petrol,Manual,20.36,1197,2,5,395000
4649,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,7,54000,Dealer,Diesel,Automatic,10.0,2148,3,5,1475000
126,Hyundai Verna,Hyundai,Verna,6,120000,Individual,Diesel,Manual,23.9,1582,3,5,660000
10522,Tata Nexon,Tata,Nexon,3,26000,Individual,Petrol,Manual,17.0,1198,2,5,600000
9770,Maruti Ertiga,Maruti,Ertiga,6,90000,Individual,Diesel,Manual,20.77,1248,2,7,580000
18298,Hyundai Creta,Hyundai,Creta,5,60000,Individual,Diesel,Manual,19.67,1582,3,5,880000
12935,Mahindra XUV500,Mahindra,XUV500,6,61000,Dealer,Diesel,Manual,16.0,2179,3,7,875000
6646,Ford Aspire,Ford,Aspire,3,5000,Individual,Petrol,Manual,18.16,1196,2,5,680000
7428,Renault Duster,Renault,Duster,5,92370,Dealer,Diesel,Manual,19.01,1461,2,5,650000
16836,Maruti Wagon R,Maruti,Wagon R,4,10000,Individual,Petrol,Automatic,20.51,998,1,5,400000
19177,Renault Duster,Renault,Duster,8,90000,Individual,Diesel,Manual,19.01,1461,2,5,360000
10057,Renault KWID,Renault,KWID,4,25000,Individual,Petrol,Manual,25.17,799,1,5,300000
19023,Honda City,Honda,City,12,120000,Individual,Petrol,Manual,17.0,1497,2,5,350000
18294,Honda City,Honda,City,4,27000,Dealer,Petrol,Manual,17.8,1497,2,5,875000
19077,Hyundai i20,Hyundai,i20,2,30000,Individual,Petrol,Manual,18.6,1197,2,5,590000
19018,Hyundai Grand,Hyundai,Grand,7,73000,Dealer,Diesel,Manual,24.0,1120,1,5,335000
3975,Hyundai Verna,Hyundai,Verna,4,28900,Dealer,Petrol,Manual,17.01,1591,3,5,865000
14180,Maruti Vitara,Maruti,Vitara,3,15000,Individual,Diesel,Automatic,24.3,1248,2,5,1000000
16267,BMW X5,BMW,X5,2,10351,Dealer,Diesel,Automatic,13.38,2993,4,5,8100000
3299,Maruti Ciaz,Maruti,Ciaz,5,31000,Dealer,Petrol,Manual,20.73,1373,2,5,600000
5596,Maruti Swift Dzire,Maruti,Swift Dzire,3,37000,Dealer,Diesel,Manual,28.4,1248,1,5,811000
16194,Hyundai Grand,Hyundai,Grand,7,34400,Dealer,Petrol,Automatic,18.9,1197,2,5,515000
6160,Maruti Celerio,Maruti,Celerio,6,23121,Dealer,Petrol,Automatic,23.1,998,1,5,461000
5250,Tata Safari,Tata,Safari,14,74555,Dealer,Diesel,Manual,11.57,2179,3,7,105000
13907,Maruti Celerio,Maruti,Celerio,5,12957,Trustmark Dealer,Petrol,Manual,23.1,998,1,5,400000
2809,Honda Amaze,Honda,Amaze,8,121877,Dealer,Diesel,Manual,24.7,1498,2,5,425000
14234,Maruti Alto,Maruti,Alto,6,45000,Dealer,Petrol,Manual,23.95,998,1,5,320000
13666,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,51000,Dealer,Petrol,Automatic,14.74,1991,3,5,1190000
4717,Mahindra Scorpio,Mahindra,Scorpio,13,71000,Dealer,Diesel,Manual,10.5,2609,2,7,390000
2059,Hyundai Grand,Hyundai,Grand,8,30000,Individual,Petrol,Manual,18.9,1197,2,5,320000
13395,Maruti Ertiga,Maruti,Ertiga,2,20139,Dealer,Petrol,Manual,19.34,1462,2,7,999000
7308,Maruti Baleno,Maruti,Baleno,1,3000,Individual,Petrol,Automatic,21.4,1197,2,5,800000
9940,Mahindra XUV500,Mahindra,XUV500,3,50000,Individual,Diesel,Manual,15.1,2179,3,7,1050000
9842,Maruti Wagon R,Maruti,Wagon R,12,45641,Dealer,Petrol,Manual,18.9,998,1,5,190000
17845,Volkswagen Polo,Volkswagen,Polo,7,62000,Dealer,Petrol,Automatic,17.21,1197,2,5,525000
7117,Volkswagen Vento,Volkswagen,Vento,6,74450,Dealer,Diesel,Automatic,21.5,1498,2,5,675000
12493,Hyundai Grand,Hyundai,Grand,5,63000,Dealer,Petrol,Manual,18.9,1197,2,5,450000
12833,Mahindra Scorpio,Mahindra,Scorpio,8,67000,Dealer,Diesel,Manual,15.4,2179,2,9,550000
14785,Maruti Swift,Maruti,Swift,9,112755,Dealer,Diesel,Manual,22.9,1248,1,5,485000
4536,Maruti Swift,Maruti,Swift,5,61000,Dealer,Diesel,Manual,28.4,1248,1,5,590000
17708,Maruti Celerio,Maruti,Celerio,6,43000,Dealer,CNG,Manual,31.79,998,1,5,435000
18349,Hyundai Grand,Hyundai,Grand,7,65000,Dealer,Petrol,Automatic,18.9,1197,2,5,485000
17341,Maruti Alto,Maruti,Alto,5,40000,Individual,Petrol,Manual,23.95,998,1,5,350000
15373,Maruti Swift Dzire,Maruti,Swift Dzire,5,80000,Dealer,Petrol,Manual,20.85,1197,2,5,450000
13010,Ford Ecosport,Ford,Ecosport,5,72000,Dealer,Diesel,Manual,22.77,1498,2,5,615000
7306,Mahindra KUV100,Mahindra,KUV100,1,35000,Individual,Diesel,Manual,25.32,1198,2,6,786000
19344,Jeep Compass,Jeep,Compass,3,60000,Dealer,Diesel,Manual,17.1,1956,3,5,1745000
18539,Renault KWID,Renault,KWID,4,36628,Dealer,Petrol,Manual,23.01,999,1,5,420000
17273,Mahindra Marazzo,Mahindra,Marazzo,3,36000,Dealer,Diesel,Manual,17.3,1497,3,7,1085000
16757,Maruti Swift,Maruti,Swift,4,5000,Individual,Petrol,Manual,20.4,1197,2,5,570000
10848,Maruti Baleno,Maruti,Baleno,3,31000,Dealer,Petrol,Manual,21.4,1197,2,5,630000
13503,Hyundai Creta,Hyundai,Creta,5,50000,Dealer,Diesel,Automatic,17.01,1582,3,5,940000
7385,Hyundai Santro,Hyundai,Santro,2,10000,Individual,Petrol,Automatic,20.3,1086,1,5,575000
2755,Volkswagen Vento,Volkswagen,Vento,9,33500,Dealer,Petrol,Manual,15.04,1598,2,5,325000
1719,Maruti Swift,Maruti,Swift,3,30000,Individual,Petrol,Automatic,22.0,1197,2,5,575000
8897,Tata Tiago,Tata,Tiago,3,40000,Individual,Diesel,Manual,27.28,1047,1,5,350000
13257,Renault Duster,Renault,Duster,9,68000,Dealer,Diesel,Manual,19.87,1461,2,5,370000
9485,Renault KWID,Renault,KWID,6,5000,Individual,Petrol,Manual,25.17,799,1,5,250000
